Job Title,Company,Platform,Skill,Language,Location,Job Description,Job Type,Salary Range
Online Tutor,Company_2033,FreshersWorld,Social Media Promotion,Bengali,Rajasthan,Looking for Online Tutor in Rajasthan with skills in Social Media Promotion.,Full-time,11211 INR/month
Anganwadi Worker,Company_6170,Indeed,Sewing,Marathi,Uttar Pradesh,Looking for Anganwadi Worker in Uttar Pradesh with skills in Sewing.,Full-time,27794 INR/month
Packing Assistant,Company_6848,Internshala,Sewing,Marathi,Maharashtra,Looking for Packing Assistant in Maharashtra with skills in Sewing.,Full-time,Negotiable
Cook,Company_7553,Internshala,Data Entry,Gujarati,Uttarakhand,Looking for Cook in Uttarakhand with skills in Data Entry.,Full-time,22669 INR/month
Cook,Company_9507,Naukri,Social Media Promotion,Telugu,West Bengal,Looking for Cook in West Bengal with skills in Social Media Promotion.,Part-time,Negotiable
Customer Support,Company_5813,JobHai,Grooming,Bengali,Chhattisgarh,Looking for Customer Support in Chhattisgarh with skills in Grooming.,Part-time,Negotiable
Anganwadi Worker,Company_8272,Internshala,Marketing,Tamil,Rajasthan,Looking for Anganwadi Worker in Rajasthan with skills in Marketing.,Part-time,Negotiable
Delivery Boy,Company_7655,WorkIndia,Teaching,Hindi,Bihar,Looking for Delivery Boy in Bihar with skills in Teaching.,Part-time,15242 INR/month
Tailor,Company_3068,Naukri,Cleaning,Telugu,Uttar Pradesh,Looking for Tailor in Uttar Pradesh with skills in Cleaning.,Part-time,22003 INR/month
Delivery Boy,Company_8371,WorkIndia,Caregiving,Hindi,Rajasthan,Looking for Delivery Boy in Rajasthan with skills in Caregiving.,Full-time,12519 INR/month
Warehouse Helper,Company_6150,Naukri,Call Handling,Gujarati,Uttarakhand,Looking for Warehouse Helper in Uttarakhand with skills in Call Handling.,Full-time,13717 INR/month
Tailor,Company_2929,Naukri,Social Media Promotion,Tamil,Chhattisgarh,Looking for Tailor in Chhattisgarh with skills in Social Media Promotion.,Part-time,24623 INR/month
NGO Worker,Company_3223,Internshala,Social Media Promotion,Marathi,Bihar,Looking for NGO Worker in Bihar with skills in Social Media Promotion.,Full-time,24585 INR/month
Data Entry Operator,Company_9882,Shine,Time Management,English,Chhattisgarh,Looking for Data Entry Operator in Chhattisgarh with skills in Time Management.,Part-time,15161 INR/month
Online Tutor,Company_4292,Shine,Call Handling,Marathi,Bihar,Looking for Online Tutor in Bihar with skills in Call Handling.,Full-time,26188 INR/month
Tailor,Company_3126,Shine,Listening,Gujarati,Haryana,Looking for Tailor in Haryana with skills in Listening.,Full-time,Negotiable
Anganwadi Worker,Company_2208,WorkIndia,Social Media Promotion,Tamil,Uttarakhand,Looking for Anganwadi Worker in Uttarakhand with skills in Social Media Promotion.,Part-time,12430 INR/month
Social Media Assistant,Company_3981,FreshersWorld,Call Handling,Gujarati,Rajasthan,Looking for Social Media Assistant in Rajasthan with skills in Call Handling.,Full-time,Negotiable
Sales Girl,Company_3697,Apna,Data Entry,Bengali,Maharashtra,Looking for Sales Girl in Maharashtra with skills in Data Entry.,Part-time,17388 INR/month
Delivery Boy,Company_5496,Internshala,Basic Computer,Punjabi,Madhya Pradesh,Looking for Delivery Boy in Madhya Pradesh with skills in Basic Computer.,Part-time,27481 INR/month
Data Entry Operator,Company_6531,Naukri,Caregiving,Bengali,Rajasthan,Looking for Data Entry Operator in Rajasthan with skills in Caregiving.,Full-time,10929 INR/month
Data Entry Operator,Company_7825,Apna,Packing,Punjabi,Madhya Pradesh,Looking for Data Entry Operator in Madhya Pradesh with skills in Packing.,Full-time,Negotiable
Security Guard,Company_5012,Internshala,Packing,Punjabi,Haryana,Looking for Security Guard in Haryana with skills in Packing.,Full-time,19746 INR/month
Social Media Assistant,Company_7809,JobHai,Sewing,Bengali,Haryana,Looking for Social Media Assistant in Haryana with skills in Sewing.,Part-time,29879 INR/month
Telecaller,Company_3142,Shine,Cooking,Gujarati,Uttarakhand,Looking for Telecaller in Uttarakhand with skills in Cooking.,Full-time,13479 INR/month
Cook,Company_8366,Indeed,Marketing,English,Maharashtra,Looking for Cook in Maharashtra with skills in Marketing.,Part-time,Negotiable
Anganwadi Worker,Company_3616,WorkIndia,Cleaning,Tamil,Madhya Pradesh,Looking for Anganwadi Worker in Madhya Pradesh with skills in Cleaning.,Full-time,20247 INR/month
NGO Worker,Company_6055,Naukri,Social Media Promotion,Telugu,Haryana,Looking for NGO Worker in Haryana with skills in Social Media Promotion.,Part-time,Negotiable
Caregiver,Company_1797,FreshersWorld,Customer Support,Marathi,West Bengal,Looking for Caregiver in West Bengal with skills in Customer Support.,Part-time,25420 INR/month
Anganwadi Worker,Company_5333,Apna,Data Entry,Tamil,Rajasthan,Looking for Anganwadi Worker in Rajasthan with skills in Data Entry.,Full-time,21991 INR/month
Housekeeper,Company_5728,WorkIndia,Sewing,Marathi,West Bengal,Looking for Housekeeper in West Bengal with skills in Sewing.,Part-time,28017 INR/month
Health Worker (ASHA),Company_7114,JobHai,Content Writing,English,Uttarakhand,Looking for Health Worker (ASHA) in Uttarakhand with skills in Content Writing.,Full-time,21980 INR/month
Telecaller,Company_1659,Indeed,Cleaning,Tamil,Chhattisgarh,Looking for Telecaller in Chhattisgarh with skills in Cleaning.,Part-time,Negotiable
Cook,Company_9446,FreshersWorld,Call Handling,Telugu,Rajasthan,Looking for Cook in Rajasthan with skills in Call Handling.,Part-time,20437 INR/month
Online Tutor,Company_9311,WorkIndia,Cleaning,Punjabi,West Bengal,Looking for Online Tutor in West Bengal with skills in Cleaning.,Full-time,28445 INR/month
Anganwadi Worker,Company_2795,FreshersWorld,Tailoring,Gujarati,West Bengal,Looking for Anganwadi Worker in West Bengal with skills in Tailoring.,Full-time,10873 INR/month
Packing Assistant,Company_8871,Internshala,Packing,Marathi,Uttar Pradesh,Looking for Packing Assistant in Uttar Pradesh with skills in Packing.,Part-time,22458 INR/month
Telecaller,Company_1310,Indeed,Sewing,English,Madhya Pradesh,Looking for Telecaller in Madhya Pradesh with skills in Sewing.,Part-time,23531 INR/month
NGO Worker,Company_3262,WorkIndia,Call Handling,Telugu,Uttar Pradesh,Looking for NGO Worker in Uttar Pradesh with skills in Call Handling.,Full-time,25675 INR/month
Sales Girl,Company_9734,WorkIndia,Cooking,Bengali,Haryana,Looking for Sales Girl in Haryana with skills in Cooking.,Part-time,18662 INR/month
Packing Assistant,Company_5890,Indeed,Customer Support,Punjabi,Chhattisgarh,Looking for Packing Assistant in Chhattisgarh with skills in Customer Support.,Part-time,19752 INR/month
Anganwadi Worker,Company_6714,Indeed,Social Media Promotion,Gujarati,Haryana,Looking for Anganwadi Worker in Haryana with skills in Social Media Promotion.,Full-time,18960 INR/month
Anganwadi Worker,Company_6654,JobHai,Caregiving,Tamil,Uttarakhand,Looking for Anganwadi Worker in Uttarakhand with skills in Caregiving.,Full-time,19517 INR/month
Housekeeper,Company_5201,Internshala,Basic Computer,Gujarati,Haryana,Looking for Housekeeper in Haryana with skills in Basic Computer.,Full-time,27648 INR/month
Health Worker (ASHA),Company_4972,Internshala,Content Writing,English,Madhya Pradesh,Looking for Health Worker (ASHA) in Madhya Pradesh with skills in Content Writing.,Part-time,17394 INR/month
Beautician Assistant,Company_8739,Apna,Data Entry,Tamil,West Bengal,Looking for Beautician Assistant in West Bengal with skills in Data Entry.,Part-time,10169 INR/month
Security Guard,Company_4267,Naukri,Grooming,Telugu,Haryana,Looking for Security Guard in Haryana with skills in Grooming.,Full-time,19352 INR/month
Housekeeper,Company_1611,JobHai,Packing,Marathi,Chhattisgarh,Looking for Housekeeper in Chhattisgarh with skills in Packing.,Full-time,Negotiable
Online Tutor,Company_5742,Apna,Crafting,Telugu,Rajasthan,Looking for Online Tutor in Rajasthan with skills in Crafting.,Full-time,Negotiable
Warehouse Helper,Company_9901,JobHai,Cooking,Punjabi,Haryana,Looking for Warehouse Helper in Haryana with skills in Cooking.,Full-time,14397 INR/month
Sales Girl,Company_6417,FreshersWorld,Teaching,Marathi,Bihar,Looking for Sales Girl in Bihar with skills in Teaching.,Part-time,18430 INR/month
Online Tutor,Company_3875,Apna,Cooking,Punjabi,Madhya Pradesh,Looking for Online Tutor in Madhya Pradesh with skills in Cooking.,Full-time,23287 INR/month
Customer Support,Company_4027,Shine,Basic Computer,Tamil,Bihar,Looking for Customer Support in Bihar with skills in Basic Computer.,Full-time,18128 INR/month
Tailor,Company_5374,Internshala,Crafting,Marathi,Haryana,Looking for Tailor in Haryana with skills in Crafting.,Full-time,28772 INR/month
Tailor,Company_2017,Internshala,Packing,Gujarati,Madhya Pradesh,Looking for Tailor in Madhya Pradesh with skills in Packing.,Full-time,15233 INR/month
Caregiver,Company_4618,Internshala,Data Entry,Punjabi,West Bengal,Looking for Caregiver in West Bengal with skills in Data Entry.,Part-time,Negotiable
Telecaller,Company_9998,FreshersWorld,Cleaning,Gujarati,Uttarakhand,Looking for Telecaller in Uttarakhand with skills in Cleaning.,Full-time,17156 INR/month
Beautician Assistant,Company_6927,JobHai,Call Handling,Telugu,Chhattisgarh,Looking for Beautician Assistant in Chhattisgarh with skills in Call Handling.,Part-time,12023 INR/month
Security Guard,Company_6375,Indeed,Caregiving,Bengali,Rajasthan,Looking for Security Guard in Rajasthan with skills in Caregiving.,Full-time,16730 INR/month
Warehouse Helper,Company_8429,FreshersWorld,Basic Computer,Telugu,Uttar Pradesh,Looking for Warehouse Helper in Uttar Pradesh with skills in Basic Computer.,Part-time,28478 INR/month
Housekeeper,Company_5169,FreshersWorld,Health Awareness,Hindi,Uttarakhand,Looking for Housekeeper in Uttarakhand with skills in Health Awareness.,Full-time,28950 INR/month
Data Entry Operator,Company_9866,Apna,Grooming,Gujarati,Bihar,Looking for Data Entry Operator in Bihar with skills in Grooming.,Full-time,12261 INR/month
Packing Assistant,Company_3218,Apna,Health Awareness,Tamil,Rajasthan,Looking for Packing Assistant in Rajasthan with skills in Health Awareness.,Full-time,23774 INR/month
Delivery Boy,Company_2314,WorkIndia,Marketing,Tamil,Uttarakhand,Looking for Delivery Boy in Uttarakhand with skills in Marketing.,Full-time,27671 INR/month
Telecaller,Company_7439,Shine,Data Entry,Bengali,Chhattisgarh,Looking for Telecaller in Chhattisgarh with skills in Data Entry.,Full-time,17297 INR/month
Tailor,Company_7948,Apna,Health Awareness,Telugu,Chhattisgarh,Looking for Tailor in Chhattisgarh with skills in Health Awareness.,Full-time,18110 INR/month
Social Media Assistant,Company_2848,Shine,Content Writing,Punjabi,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Content Writing.,Part-time,10512 INR/month
Beautician Assistant,Company_8314,Indeed,Basic Computer,English,Uttar Pradesh,Looking for Beautician Assistant in Uttar Pradesh with skills in Basic Computer.,Full-time,11595 INR/month
Beautician Assistant,Company_9843,Apna,Crafting,Telugu,Madhya Pradesh,Looking for Beautician Assistant in Madhya Pradesh with skills in Crafting.,Part-time,11849 INR/month
Telecaller,Company_4881,Internshala,Customer Support,Gujarati,West Bengal,Looking for Telecaller in West Bengal with skills in Customer Support.,Part-time,Negotiable
Sales Girl,Company_1998,Indeed,Grooming,Punjabi,Maharashtra,Looking for Sales Girl in Maharashtra with skills in Grooming.,Full-time,15738 INR/month
Customer Support,Company_9592,FreshersWorld,Sewing,Gujarati,Uttarakhand,Looking for Customer Support in Uttarakhand with skills in Sewing.,Part-time,14889 INR/month
Anganwadi Worker,Company_4692,WorkIndia,Basic Accounting,Telugu,Madhya Pradesh,Looking for Anganwadi Worker in Madhya Pradesh with skills in Basic Accounting.,Part-time,25172 INR/month
Housekeeper,Company_4978,WorkIndia,Grooming,Bengali,Uttarakhand,Looking for Housekeeper in Uttarakhand with skills in Grooming.,Part-time,12590 INR/month
Social Media Assistant,Company_5398,Shine,Basic Computer,Marathi,Uttar Pradesh,Looking for Social Media Assistant in Uttar Pradesh with skills in Basic Computer.,Part-time,11295 INR/month
Data Entry Operator,Company_4422,Indeed,Caregiving,Marathi,Haryana,Looking for Data Entry Operator in Haryana with skills in Caregiving.,Full-time,10502 INR/month
NGO Worker,Company_4350,Indeed,Data Entry,Telugu,Madhya Pradesh,Looking for NGO Worker in Madhya Pradesh with skills in Data Entry.,Part-time,20538 INR/month
Anganwadi Worker,Company_5285,WorkIndia,Marketing,Gujarati,Maharashtra,Looking for Anganwadi Worker in Maharashtra with skills in Marketing.,Part-time,25270 INR/month
Content Writer,Company_6126,FreshersWorld,Cooking,Marathi,West Bengal,Looking for Content Writer in West Bengal with skills in Cooking.,Part-time,17250 INR/month
Telecaller,Company_3497,Apna,Teaching,Tamil,Maharashtra,Looking for Telecaller in Maharashtra with skills in Teaching.,Part-time,28670 INR/month
Beautician Assistant,Company_9005,FreshersWorld,Listening,Gujarati,Maharashtra,Looking for Beautician Assistant in Maharashtra with skills in Listening.,Full-time,26075 INR/month
Social Media Assistant,Company_9954,Naukri,Time Management,Bengali,Rajasthan,Looking for Social Media Assistant in Rajasthan with skills in Time Management.,Part-time,27764 INR/month
Housekeeper,Company_7756,Apna,Basic Computer,Hindi,Uttar Pradesh,Looking for Housekeeper in Uttar Pradesh with skills in Basic Computer.,Part-time,12227 INR/month
Telecaller,Company_1990,Apna,Communication,Telugu,West Bengal,Looking for Telecaller in West Bengal with skills in Communication.,Full-time,25833 INR/month
Packing Assistant,Company_1274,Apna,Tailoring,Tamil,Uttar Pradesh,Looking for Packing Assistant in Uttar Pradesh with skills in Tailoring.,Full-time,19394 INR/month
Tailor,Company_9591,WorkIndia,Basic Accounting,English,Bihar,Looking for Tailor in Bihar with skills in Basic Accounting.,Part-time,Negotiable
Sales Girl,Company_2294,Internshala,Time Management,Punjabi,Uttarakhand,Looking for Sales Girl in Uttarakhand with skills in Time Management.,Part-time,28513 INR/month
Beautician Assistant,Company_2531,Indeed,Health Awareness,English,Uttar Pradesh,Looking for Beautician Assistant in Uttar Pradesh with skills in Health Awareness.,Part-time,25597 INR/month
Housekeeper,Company_8109,Apna,Basic Accounting,English,Haryana,Looking for Housekeeper in Haryana with skills in Basic Accounting.,Full-time,13124 INR/month
Sales Girl,Company_5441,Apna,Customer Support,Marathi,Haryana,Looking for Sales Girl in Haryana with skills in Customer Support.,Part-time,Negotiable
Health Worker (ASHA),Company_4394,Apna,Basic Accounting,Gujarati,Uttar Pradesh,Looking for Health Worker (ASHA) in Uttar Pradesh with skills in Basic Accounting.,Full-time,23051 INR/month
Data Entry Operator,Company_9856,Internshala,Basic Accounting,Marathi,Uttarakhand,Looking for Data Entry Operator in Uttarakhand with skills in Basic Accounting.,Part-time,14585 INR/month
Data Entry Operator,Company_4803,Shine,Sewing,English,Uttarakhand,Looking for Data Entry Operator in Uttarakhand with skills in Sewing.,Full-time,29516 INR/month
Caregiver,Company_9038,Shine,Tailoring,Punjabi,Haryana,Looking for Caregiver in Haryana with skills in Tailoring.,Part-time,22301 INR/month
Customer Support,Company_5839,Naukri,Caregiving,Tamil,Bihar,Looking for Customer Support in Bihar with skills in Caregiving.,Full-time,12688 INR/month
Health Worker (ASHA),Company_6188,Naukri,Crafting,Bengali,Uttarakhand,Looking for Health Worker (ASHA) in Uttarakhand with skills in Crafting.,Part-time,Negotiable
Anganwadi Worker,Company_3170,FreshersWorld,Time Management,Punjabi,Bihar,Looking for Anganwadi Worker in Bihar with skills in Time Management.,Part-time,28251 INR/month
Security Guard,Company_6798,WorkIndia,Data Entry,Hindi,Bihar,Looking for Security Guard in Bihar with skills in Data Entry.,Full-time,20630 INR/month
Caregiver,Company_2387,Apna,Health Awareness,Tamil,Uttarakhand,Looking for Caregiver in Uttarakhand with skills in Health Awareness.,Full-time,17954 INR/month
Warehouse Helper,Company_5405,Naukri,Crafting,Bengali,Rajasthan,Looking for Warehouse Helper in Rajasthan with skills in Crafting.,Part-time,12073 INR/month
Online Tutor,Company_8933,WorkIndia,Teaching,Tamil,Maharashtra,Looking for Online Tutor in Maharashtra with skills in Teaching.,Full-time,18080 INR/month
Packing Assistant,Company_5991,Indeed,Marketing,English,Rajasthan,Looking for Packing Assistant in Rajasthan with skills in Marketing.,Part-time,22448 INR/month
Cook,Company_5922,FreshersWorld,Cooking,Tamil,Rajasthan,Looking for Cook in Rajasthan with skills in Cooking.,Part-time,16581 INR/month
Packing Assistant,Company_5775,Shine,Basic Accounting,Tamil,West Bengal,Looking for Packing Assistant in West Bengal with skills in Basic Accounting.,Full-time,28870 INR/month
Beautician Assistant,Company_6980,Shine,Crafting,Punjabi,Uttarakhand,Looking for Beautician Assistant in Uttarakhand with skills in Crafting.,Part-time,29406 INR/month
Security Guard,Company_4434,Naukri,Listening,Hindi,Haryana,Looking for Security Guard in Haryana with skills in Listening.,Part-time,12266 INR/month
Customer Support,Company_5139,FreshersWorld,Content Writing,Punjabi,Madhya Pradesh,Looking for Customer Support in Madhya Pradesh with skills in Content Writing.,Full-time,22353 INR/month
Data Entry Operator,Company_9755,FreshersWorld,Cleaning,Telugu,Uttarakhand,Looking for Data Entry Operator in Uttarakhand with skills in Cleaning.,Full-time,23706 INR/month
Security Guard,Company_5067,Apna,Time Management,English,Bihar,Looking for Security Guard in Bihar with skills in Time Management.,Full-time,11451 INR/month
Warehouse Helper,Company_1172,WorkIndia,Cooking,Tamil,Bihar,Looking for Warehouse Helper in Bihar with skills in Cooking.,Part-time,26999 INR/month
Security Guard,Company_8586,Indeed,Marketing,Gujarati,Uttarakhand,Looking for Security Guard in Uttarakhand with skills in Marketing.,Full-time,26399 INR/month
Telecaller,Company_5840,Shine,Tailoring,Telugu,Bihar,Looking for Telecaller in Bihar with skills in Tailoring.,Part-time,13803 INR/month
Telecaller,Company_4389,Shine,Health Awareness,Gujarati,Haryana,Looking for Telecaller in Haryana with skills in Health Awareness.,Full-time,13198 INR/month
Social Media Assistant,Company_1732,FreshersWorld,Cooking,English,Maharashtra,Looking for Social Media Assistant in Maharashtra with skills in Cooking.,Full-time,Negotiable
Cook,Company_3858,JobHai,Basic Accounting,Marathi,Chhattisgarh,Looking for Cook in Chhattisgarh with skills in Basic Accounting.,Full-time,23971 INR/month
Social Media Assistant,Company_8080,Indeed,Crafting,Bengali,Rajasthan,Looking for Social Media Assistant in Rajasthan with skills in Crafting.,Part-time,16465 INR/month
Social Media Assistant,Company_4371,WorkIndia,Crafting,Hindi,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Crafting.,Part-time,12050 INR/month
Warehouse Helper,Company_6340,JobHai,Listening,Bengali,West Bengal,Looking for Warehouse Helper in West Bengal with skills in Listening.,Part-time,Negotiable
Packing Assistant,Company_2871,Shine,Cleaning,Tamil,Uttarakhand,Looking for Packing Assistant in Uttarakhand with skills in Cleaning.,Part-time,15653 INR/month
Anganwadi Worker,Company_4908,JobHai,Content Writing,Gujarati,Bihar,Looking for Anganwadi Worker in Bihar with skills in Content Writing.,Part-time,Negotiable
Telecaller,Company_7931,WorkIndia,Grooming,Bengali,Uttarakhand,Looking for Telecaller in Uttarakhand with skills in Grooming.,Part-time,15676 INR/month
Security Guard,Company_4065,Naukri,Social Media Promotion,Punjabi,Rajasthan,Looking for Security Guard in Rajasthan with skills in Social Media Promotion.,Part-time,11756 INR/month
Delivery Boy,Company_7290,Apna,Social Media Promotion,Bengali,Madhya Pradesh,Looking for Delivery Boy in Madhya Pradesh with skills in Social Media Promotion.,Full-time,26219 INR/month
Customer Support,Company_3740,FreshersWorld,Grooming,Telugu,Haryana,Looking for Customer Support in Haryana with skills in Grooming.,Part-time,Negotiable
Beautician Assistant,Company_9808,Internshala,Sewing,Punjabi,Madhya Pradesh,Looking for Beautician Assistant in Madhya Pradesh with skills in Sewing.,Part-time,28535 INR/month
Packing Assistant,Company_9898,JobHai,Caregiving,English,Maharashtra,Looking for Packing Assistant in Maharashtra with skills in Caregiving.,Full-time,11363 INR/month
Social Media Assistant,Company_5877,Indeed,Grooming,English,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Grooming.,Full-time,Negotiable
Health Worker (ASHA),Company_4882,Shine,Basic Computer,Telugu,Bihar,Looking for Health Worker (ASHA) in Bihar with skills in Basic Computer.,Part-time,21489 INR/month
Customer Support,Company_4390,Naukri,Cleaning,Bengali,Madhya Pradesh,Looking for Customer Support in Madhya Pradesh with skills in Cleaning.,Full-time,27441 INR/month
Health Worker (ASHA),Company_5380,Naukri,Cooking,Punjabi,Maharashtra,Looking for Health Worker (ASHA) in Maharashtra with skills in Cooking.,Full-time,13120 INR/month
Telecaller,Company_3174,WorkIndia,Sewing,Punjabi,Rajasthan,Looking for Telecaller in Rajasthan with skills in Sewing.,Part-time,18111 INR/month
Caregiver,Company_7146,FreshersWorld,Content Writing,Punjabi,Uttarakhand,Looking for Caregiver in Uttarakhand with skills in Content Writing.,Part-time,13050 INR/month
Caregiver,Company_6362,Internshala,Time Management,Telugu,Haryana,Looking for Caregiver in Haryana with skills in Time Management.,Full-time,13052 INR/month
Social Media Assistant,Company_8039,Shine,Basic Computer,Tamil,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Basic Computer.,Full-time,20579 INR/month
Anganwadi Worker,Company_6631,Shine,Listening,Bengali,Haryana,Looking for Anganwadi Worker in Haryana with skills in Listening.,Full-time,11505 INR/month
Content Writer,Company_8230,FreshersWorld,Tailoring,English,Rajasthan,Looking for Content Writer in Rajasthan with skills in Tailoring.,Part-time,24018 INR/month
NGO Worker,Company_5489,Naukri,Packing,Punjabi,Rajasthan,Looking for NGO Worker in Rajasthan with skills in Packing.,Part-time,12700 INR/month
Delivery Boy,Company_4836,Naukri,Sewing,Tamil,Maharashtra,Looking for Delivery Boy in Maharashtra with skills in Sewing.,Part-time,Negotiable
Content Writer,Company_3174,Apna,Communication,Telugu,Bihar,Looking for Content Writer in Bihar with skills in Communication.,Full-time,24583 INR/month
Tailor,Company_3165,Apna,Cooking,English,Uttarakhand,Looking for Tailor in Uttarakhand with skills in Cooking.,Part-time,12927 INR/month
Content Writer,Company_3246,JobHai,Cooking,Gujarati,Maharashtra,Looking for Content Writer in Maharashtra with skills in Cooking.,Part-time,14362 INR/month
Telecaller,Company_8210,JobHai,Call Handling,Hindi,Rajasthan,Looking for Telecaller in Rajasthan with skills in Call Handling.,Part-time,14960 INR/month
Customer Support,Company_3293,FreshersWorld,Communication,English,Bihar,Looking for Customer Support in Bihar with skills in Communication.,Full-time,22583 INR/month
Delivery Boy,Company_5537,WorkIndia,Cooking,Bengali,Madhya Pradesh,Looking for Delivery Boy in Madhya Pradesh with skills in Cooking.,Full-time,29693 INR/month
Anganwadi Worker,Company_9348,Apna,Health Awareness,Marathi,Chhattisgarh,Looking for Anganwadi Worker in Chhattisgarh with skills in Health Awareness.,Part-time,11788 INR/month
Beautician Assistant,Company_9185,FreshersWorld,Crafting,English,Madhya Pradesh,Looking for Beautician Assistant in Madhya Pradesh with skills in Crafting.,Full-time,Negotiable
Tailor,Company_7895,Shine,Cooking,Bengali,Uttarakhand,Looking for Tailor in Uttarakhand with skills in Cooking.,Part-time,25434 INR/month
Data Entry Operator,Company_5295,Apna,Caregiving,English,Uttar Pradesh,Looking for Data Entry Operator in Uttar Pradesh with skills in Caregiving.,Part-time,23040 INR/month
Sales Girl,Company_7590,Internshala,Packing,Tamil,Uttarakhand,Looking for Sales Girl in Uttarakhand with skills in Packing.,Part-time,15003 INR/month
Health Worker (ASHA),Company_4329,JobHai,Health Awareness,English,Chhattisgarh,Looking for Health Worker (ASHA) in Chhattisgarh with skills in Health Awareness.,Full-time,Negotiable
Cook,Company_8167,WorkIndia,Caregiving,English,Maharashtra,Looking for Cook in Maharashtra with skills in Caregiving.,Full-time,11897 INR/month
Beautician Assistant,Company_1901,JobHai,Grooming,English,Haryana,Looking for Beautician Assistant in Haryana with skills in Grooming.,Part-time,15755 INR/month
Content Writer,Company_9133,Apna,Content Writing,Hindi,Rajasthan,Looking for Content Writer in Rajasthan with skills in Content Writing.,Full-time,18495 INR/month
Online Tutor,Company_1480,Shine,Content Writing,Punjabi,Bihar,Looking for Online Tutor in Bihar with skills in Content Writing.,Part-time,27165 INR/month
Data Entry Operator,Company_8457,Internshala,Caregiving,English,Haryana,Looking for Data Entry Operator in Haryana with skills in Caregiving.,Full-time,Negotiable
Warehouse Helper,Company_2685,Naukri,Time Management,Bengali,Maharashtra,Looking for Warehouse Helper in Maharashtra with skills in Time Management.,Full-time,13779 INR/month
Beautician Assistant,Company_1753,Apna,Sewing,Hindi,Madhya Pradesh,Looking for Beautician Assistant in Madhya Pradesh with skills in Sewing.,Part-time,14917 INR/month
Online Tutor,Company_6272,Apna,Listening,Tamil,Madhya Pradesh,Looking for Online Tutor in Madhya Pradesh with skills in Listening.,Part-time,20483 INR/month
Health Worker (ASHA),Company_9225,JobHai,Caregiving,Gujarati,Bihar,Looking for Health Worker (ASHA) in Bihar with skills in Caregiving.,Full-time,Negotiable
Beautician Assistant,Company_5625,Apna,Crafting,English,Haryana,Looking for Beautician Assistant in Haryana with skills in Crafting.,Full-time,12830 INR/month
Security Guard,Company_5777,FreshersWorld,Tailoring,Gujarati,Madhya Pradesh,Looking for Security Guard in Madhya Pradesh with skills in Tailoring.,Full-time,17948 INR/month
Social Media Assistant,Company_9954,Shine,Caregiving,Telugu,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Caregiving.,Full-time,10208 INR/month
Customer Support,Company_6488,Apna,Customer Support,Gujarati,Uttar Pradesh,Looking for Customer Support in Uttar Pradesh with skills in Customer Support.,Part-time,20076 INR/month
Content Writer,Company_9061,Indeed,Call Handling,Marathi,Uttarakhand,Looking for Content Writer in Uttarakhand with skills in Call Handling.,Full-time,14665 INR/month
Health Worker (ASHA),Company_7767,JobHai,Sewing,Marathi,Chhattisgarh,Looking for Health Worker (ASHA) in Chhattisgarh with skills in Sewing.,Full-time,12782 INR/month
Warehouse Helper,Company_2226,JobHai,Call Handling,Bengali,Uttarakhand,Looking for Warehouse Helper in Uttarakhand with skills in Call Handling.,Full-time,Negotiable
Telecaller,Company_7438,Indeed,Health Awareness,Punjabi,West Bengal,Looking for Telecaller in West Bengal with skills in Health Awareness.,Full-time,20422 INR/month
Social Media Assistant,Company_3230,Internshala,Customer Support,English,Madhya Pradesh,Looking for Social Media Assistant in Madhya Pradesh with skills in Customer Support.,Full-time,15092 INR/month
Content Writer,Company_7660,Naukri,Marketing,Telugu,West Bengal,Looking for Content Writer in West Bengal with skills in Marketing.,Part-time,16803 INR/month
Social Media Assistant,Company_2481,Internshala,Marketing,Punjabi,Bihar,Looking for Social Media Assistant in Bihar with skills in Marketing.,Part-time,29769 INR/month
Housekeeper,Company_5066,Indeed,Cooking,Bengali,Bihar,Looking for Housekeeper in Bihar with skills in Cooking.,Full-time,11604 INR/month
Anganwadi Worker,Company_8408,Internshala,Basic Accounting,Hindi,Uttarakhand,Looking for Anganwadi Worker in Uttarakhand with skills in Basic Accounting.,Full-time,13103 INR/month
Social Media Assistant,Company_2010,JobHai,Content Writing,English,Uttar Pradesh,Looking for Social Media Assistant in Uttar Pradesh with skills in Content Writing.,Full-time,14283 INR/month
NGO Worker,Company_2228,WorkIndia,Time Management,English,Maharashtra,Looking for NGO Worker in Maharashtra with skills in Time Management.,Part-time,Negotiable
Social Media Assistant,Company_1699,Naukri,Basic Computer,Gujarati,Bihar,Looking for Social Media Assistant in Bihar with skills in Basic Computer.,Full-time,Negotiable
Warehouse Helper,Company_7270,WorkIndia,Crafting,Telugu,Uttar Pradesh,Looking for Warehouse Helper in Uttar Pradesh with skills in Crafting.,Full-time,Negotiable
NGO Worker,Company_3435,Naukri,Teaching,Punjabi,Haryana,Looking for NGO Worker in Haryana with skills in Teaching.,Part-time,18053 INR/month
